image_id,class
3,S
4,S
5,E
6,S
7,S
8,E
9,E
11,S
12,SB
13,E
14,S
15,S
16,S
17,E
18,S
19,E
20,E
21,SB
22,E
23,S
24,EDGE
25,E
26,SB
27,S
28,S
29,SB
30,S
31,S
32,E
33,E
34,S
35,S
36,S
37,E
38,E
39,SB
40,SB
41,E
42,S
43,S
44,E
45,S
46,S
47,E
48,S
49,EDGE
50,S
51,S
52,S
53,S
54,S
55,E
56,E
57,S
58,E
59,EDGE
60,S
61,EDGE
63,S
65,E
66,E
68,EDGE
69,E
70,S
71,E
72,E
73,E
74,S
75,SB
76,SB
77,S
78,E
79,S
80,E
81,E
82,E
83,S
84,E
85,SB
86,SB
87,E
88,E
89,SB
90,S
92,SB
93,SB
94,E
95,E
96,S
97,EDGE
98,SB
99,E
100,S
101,S
102,SB
103,E
105,E
106,SB
107,E
108,E
109,SB
110,S
112,E
114,S
115,EDGE
116,SB
117,E
118,E
119,E
120,E
121,E
123,S
124,S
125,E
126,S
127,E
128,E
129,S
130,E
131,S
132,E
133,S
134,E
135,SB
136,S
137,E
138,S
139,S
140,E
141,E
142,E
143,E
144,S
145,S
146,SB
147,SB
148,E
149,E
150,S
151,S
152,SB
153,E
154,E
155,E
156,S
158,S
161,EDGE
162,S
163,E
164,S
165,SB
168,SB
171,EDGE
172,E
173,E
174,S
175,S
176,E
177,EDGE
178,E
179,S
180,S
181,SB
182,S
183,E
184,E
185,E
186,E
187,E
188,S
189,E
190,SB
191,E
192,S
193,E
194,SB
195,E
196,EDGE
197,E
198,E
199,EDGE
200,SB
201,E
202,S
203,E
204,EDGE
205,S
206,SB
207,E
208,S
209,E
210,E
211,E
212,S
213,SB
214,S
215,E
216,S
217,E
218,E
219,E
220,S
221,S
222,E
223,S
224,S
225,S
226,SB
227,SB
228,SB
229,E
230,SB
231,EDGE
232,E
235,S
236,E
237,E
238,S
239,SB
240,SB
241,S
242,E
243,EDGE
244,S
245,E
246,SB
247,E
249,E
251,E
252,E
253,E
254,EDGE
255,S
256,E
257,E
258,S
259,E
260,S
261,SB
263,E
264,E
265,SB
266,SB
267,E
268,S
269,E
270,E
271,S
272,S
273,S
274,SB
275,E
277,SB
278,S
279,E
280,E
281,SB
282,SB
283,E
284,S
285,SB
286,S
287,E
288,SB
289,S
290,SB
291,E
292,S
293,SB
294,SB
295,SB
296,E
298,S
299,S
300,SB
302,E
303,S
304,E
305,S
306,E
307,S
309,S
310,E
311,E
312,S
313,SB
314,E
315,E
316,SB
317,E
318,E
319,E
320,S
321,SB
322,S
323,SB
324,S
325,S
326,E
327,E
328,S
329,S
331,SB
332,SB
333,S
334,EDGE
335,E
336,S
337,SB
338,SB
339,E
340,E
341,E
342,EDGE
343,E
344,S
345,E
347,E
348,E
349,E
352,E
353,SB
354,E
355,SB
356,SB
357,SB
358,E
359,SB
360,S
362,S
363,E
364,SB
365,S
366,SB
367,SB
368,E
369,SB
370,E
371,E
372,S
373,E
375,E
376,E
